# Server version 0.08 running on 142.157.113.143:8123
# Game ID: 205
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Tue Apr 08 16:39:53 EDT 2014
# Player 1: Player-0, 'random', running on 142.157.113.143
# Player 2: Player-1, 's260520039Player', running on 127.0.0.1
# Player 3: Player-2, 'random', running on 142.157.113.143
# Player 4: Player-3, 'random', running on 142.157.113.143
START Player-0 random
START Player-1 s260520039Player
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (13,2) (12,3)
2 (1,12) (0,11)
3 (13,14) (13,12)
3 null null
0 (3,1) (2,2)
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (3,14) (4,13)
3 (14,12) (13,11)
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (2,3)
0 (2,3) (0,1)
0 (0,1) (2,3)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (11,5)
1 null null
2 (0,12) (0,10)
2 (0,10) (0,12)
2 null null
3 (12,15) (13,14)
0 (3,0) (4,0)
1 (12,1) (12,2)
2 (0,11) (0,10)
3 (14,13) (12,13)
3 (12,13) (14,11)
3 null null
0 (1,1) (3,1)
0 null null
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (4,13) (5,14)
3 (13,14) (12,15)
0 (4,0) (3,0)
1 (15,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (11,3)
1 (11,3) (9,5)
1 null null
2 (0,12) (1,12)
3 (13,11) (15,11)
3 (15,11) (13,11)
3 null null
0 (1,0) (1,1)
1 (14,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,6)
1 (10,6) (8,4)
1 null null
2 (1,13) (2,12)
3 (13,13) (12,13)
0 (0,0) (1,0)
1 (11,5) (9,3)
1 (9,3) (7,5)
1 null null
2 (3,15) (3,14)
3 (14,11) (13,10)
0 (3,0) (4,1)
1 (11,4) (9,4)
1 (9,4) (9,6)
1 null null
2 (2,12) (3,13)
3 (15,12) (14,12)
0 (0,3) (0,4)
1 (13,0) (13,2)
1 (13,2) (11,4)
1 (11,4) (9,4)
1 (9,4) (7,4)
1 (7,4) (7,6)
1 null null
2 (3,13) (1,13)
2 (1,13) (1,11)
2 (1,11) (1,13)
2 (1,13) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,15)
2 (3,15) (3,13)
2 (3,13) (3,15)
2 null null
3 (15,14) (14,13)
0 (2,1) (3,0)
1 (10,4) (8,6)
1 (8,6) (6,6)
1 null null
2 (3,15) (4,15)
3 (12,14) (13,13)
0 (2,2) (2,4)
0 null null
1 (7,5) (5,7)
1 null null
2 (5,14) (5,13)
3 (13,11) (14,11)
0 (0,4) (1,5)
1 (6,6) (4,8)
1 null null
2 (2,14) (3,15)
3 (12,15) (11,15)
0 (1,0) (0,0)
1 (5,7) (3,9)
1 null null
2 (0,10) (1,10)
3 (11,15) (10,14)
0 (1,1) (2,1)
1 (14,3) (13,4)
2 (3,15) (5,15)
2 (5,15) (3,15)
2 (3,15) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,13)
2 (3,13) (3,15)
2 (3,15) (3,13)
2 (3,13) (3,15)
2 (3,15) (3,13)
2 null null
3 (13,12) (12,11)
0 (1,3) (3,5)
0 (3,5) (1,3)
0 (1,3) (3,5)
0 null null
1 (9,5) (8,6)
2 (2,13) (3,12)
3 (13,15) (13,14)
0 (3,1) (2,2)
1 (14,1) (14,3)
1 (14,3) (12,5)
1 null null
2 (1,10) (0,11)
3 (12,11) (13,12)
0 (2,2) (3,2)
1 (4,8) (2,10)
1 null null
2 (2,15) (4,13)
2 (4,13) (2,11)
2 (2,11) (2,9)
2 (2,9) (2,11)
2 null null
3 (12,13) (12,14)
0 (4,1) (4,0)
1 (13,4) (11,6)
1 null null
2 (3,14) (2,15)
3 (14,12) (14,10)
3 (14,10) (12,10)
3 null null
0 (3,5) (4,4)
1 (3,9) (1,11)
1 (1,11) (1,13)
1 null null
2 (1,15) (3,15)
2 null null
3 (13,10) (13,11)
0 (3,3) (4,2)
1 (1,13) (2,14)
2 (3,12) (4,12)
3 (13,14) (12,13)
0 (4,4) (3,4)
1 (8,6) (6,6)
1 null null
2 (5,13) (5,14)
3 (12,13) (12,15)
3 (12,15) (12,13)
3 null null
0 (1,5) (1,6)
1 (9,6) (8,7)
2 (0,11) (1,11)
3 (12,13) (12,15)
3 null null
0 (1,6) (2,6)
1 (12,3) (13,3)
2 (3,13) (4,13)
3 (14,13) (14,12)
0 (0,0) (1,1)
1 (2,10) (1,9)
2 (1,12) (2,12)
3 (13,12) (12,11)
0 (3,2) (2,2)
1 (11,6) (10,5)
2 (5,14) (4,14)
3 (12,10) (11,10)
0 (1,1) (0,0)
1 (6,6) (6,5)
2 (4,14) (5,13)
3 (13,13) (13,14)
0 (0,0) (0,1)
1 (15,2) (14,1)
2 (4,13) (5,14)
3 (12,14) (13,13)
0 (3,0) (3,1)
1 (10,5) (10,4)
2 (2,12) (3,12)
3 (15,13) (13,15)
3 (13,15) (11,15)
3 null null
0 (2,0) (1,1)
1 (1,9) (2,10)
2 (5,14) (4,14)
3 (11,10) (10,9)
0 (1,1) (1,3)
0 null null
1 (2,10) (3,9)
2 (1,11) (0,11)
3 (11,15) (13,15)
3 (13,15) (11,15)
3 (11,15) (9,13)
3 null null
0 (0,2) (0,3)
1 (14,1) (12,1)
1 null null
2 (4,12) (2,12)
2 (2,12) (2,10)
2 (2,10) (2,12)
2 null null
3 (14,11) (15,12)
0 (4,2) (4,1)
1 (6,5) (7,4)
2 (0,14) (1,13)
3 (14,12) (12,14)
3 null null
0 (2,1) (3,2)
1 (10,4) (9,3)
2 (5,13) (4,13)
3 (13,11) (12,12)
0 (3,2) (5,0)
0 null null
1 (7,4) (6,5)
2 (4,14) (3,13)
3 (13,13) (11,11)
3 (11,11) (13,11)
3 (13,11) (11,13)
3 null null
0 (2,6) (2,5)
1 (7,6) (6,7)
2 (0,11) (0,12)
3 (14,14) (14,13)
0 (4,1) (4,2)
1 (8,7) (9,8)
2 (0,12) (1,12)
3 (10,9) (10,8)
0 (4,2) (5,2)
1 (3,9) (2,9)
2 (2,12) (4,12)
2 null null
3 (12,14) (12,13)
0 (2,2) (1,1)
1 (2,9) (1,8)
2 (3,15) (5,15)
2 (5,15) (3,15)
2 null null
3 (12,15) (11,14)
0 (1,3) (3,5)
0 (3,5) (1,3)
0 (1,3) (3,5)
0 (3,5) (1,5)
0 null null
1 (1,8) (0,7)
2 (3,15) (5,15)
2 null null
3 (12,11) (11,12)
0 (2,5) (2,6)
1 (13,3) (12,4)
2 (3,12) (5,12)
2 null null
3 (12,13) (12,14)
0 (3,4) (1,4)
0 (1,4) (3,2)
0 (3,2) (3,0)
0 null null
1 (8,4) (7,4)
2 (5,12) (4,11)
3 (12,12) (12,13)
0 (1,2) (0,2)
1 (0,7) (0,6)
2 (1,14) (0,14)
3 (15,15) (15,14)
0 (4,0) (5,1)
1 (7,4) (7,3)
2 (1,13) (3,15)
2 null null
3 (11,13) (9,15)
3 null null
0 (1,1) (2,2)
